iter	F1	Logloss
185	0.3269263646	0.5635192961
186	0.32693294	0.5635192958
187	0.3269213861	0.5635191202
188	0.3269524782	0.5635181145
189	0.3270736365	0.5635175805
190	0.3271146708	0.5635134806
191	0.3271393619	0.5635128571
192	0.327129413	0.5635120581
193	0.327129413	0.5635120581
194	0.3270519508	0.5634981975
195	0.3270848189	0.5634963593
196	0.3274298267	0.5634928427
197	0.327498853	0.5634894972
198	0.327358836	0.5634870504
199	0.3273543914	0.563486206
200	0.3273543914	0.5634861987
201	0.3273543914	0.5634861987
202	0.3273197764	0.5634695751
203	0.3273819114	0.5634675836
204	0.3273686009	0.5634665204
205	0.3274836102	0.5634642906
206	0.3274754457	0.5634564266
207	0.3274738471	0.5634511609
208	0.3273820857	0.5634452132
209	0.3273820857	0.5634452132
210	0.3274539765	0.5634439738
211	0.3274458114	0.5634436125
212	0.3274555751	0.5634432506
213	0.3274081813	0.5634392133
214	0.3273343359	0.5634363995
215	0.3273343359	0.5634363734
216	0.3273391306	0.5634343456
217	0.3273146295	0.5633991155
218	0.3273724962	0.5633971177
219	0.3273561647	0.5633967993
220	0.3274051581	0.5633961947
221	0.3275781296	0.5633954071
222	0.3276762275	0.5633939818
223	0.3276744629	0.56339328
224	0.3277832796	0.5633927272
225	0.327821192	0.5633916671
226	0.327865174	0.5633901634
227	0.3278813274	0.5633875321
228	0.3278109511	0.5633648182
229	0.3278795684	0.5633641195
230	0.3277794312	0.563361632
231	0.3277336755	0.5633542449
232	0.3277356023	0.5633534661
233	0.3279504075	0.5633511629
234	0.3279553635	0.5633477218
235	0.3279716733	0.5633474869
236	0.3279667176	0.5633472921
237	0.3279568057	0.5633449437
238	0.3279468932	0.5633395118
239	0.3279550487	0.5633386559
240	0.3279105956	0.5633377581
241	0.3278856474	0.5633371169
242	0.3278906056	0.5633367245
243	0.3281032809	0.5633329986
244	0.328176968	0.5633306482
245	0.3281622621	0.5633297885
246	0.3281003867	0.5633266342
247	0.3281459554	0.5633232125
248	0.3281246952	0.5633220135
249	0.3280788177	0.5633215139
250	0.3280593084	0.5633207765
251	0.327977288	0.5633201913
252	0.3279182765	0.5633158227
253	0.3279705747	0.5633153222
254	0.3279475471	0.5633143947
255	0.327949147	0.5633133667
256	0.3279115604	0.5633115865
257	0.3277055052	0.5633102479
258	0.3277112432	0.5633050605
259	0.3276899576	0.5633031986
260	0.3276312257	0.5632973434
261	0.3276377887	0.5632955659
262	0.3276377887	0.5632954309
263	0.3277627875	0.5632918185
264	0.3278360576	0.5632878762
265	0.3278392568	0.563282977
266	0.3279976192	0.5632808677
267	0.3279470741	0.5632768107
268	0.3279784177	0.5632735318
269	0.3280244679	0.5632702263
270	0.3279950438	0.5632676659
271	0.3279851311	0.5632649793
272	0.3281042691	0.5632604566
273	0.328120732	0.5632573707
274	0.3282273363	0.5632570626
275	0.3282273363	0.5632538518
276	0.3282322878	0.5632517066
277	0.3282124812	0.563247905
278	0.3282388397	0.5632434852
279	0.3282175828	0.5632424201
280	0.3280869722	0.5632400189
281	0.3279806445	0.5632372813
282	0.3280620458	0.5632318449
283	0.3281554061	0.5632299465
284	0.3281816187	0.5632261037
285	0.3282519433	0.5631970977
286	0.32830231	0.5631912826
287	0.3283860084	0.5631768738
288	0.3284120607	0.5631725788
289	0.3284647335	0.5631517447
290	0.3284826325	0.5631472467
291	0.3283772779	0.5631413567
292	0.3283478736	0.5631352681
293	0.3285345866	0.563129654
294	0.3284807473	0.5631232833
295	0.3284775444	0.5631209255
296	0.3287074273	0.5631152217
297	0.32876926	0.5631108491
298	0.3288281482	0.5631056354
299	0.3287711294	0.5630996715
